model,model_family,profile_policy,split,evaluation_scope,auc,pr_auc,top1pct_hits,top1pct_recall,top5pct_hits,top5pct_recall
XGBoost统计特征,xgboost_baseline,drop_customer_type,test,all_accounts,0.9833290299576425,0.27556030086251965,28,0.4745762711864407,58,0.9830508474576272
XGBoost统计+图特征,xgboost_strong_baseline,drop_customer_type,train,all_accounts,0.9908737696956283,0.33997404184167246,33,0.559322033898305,59,1.0
XGBoost统计+图特征,xgboost_strong_baseline,drop_customer_type,valid,all_accounts,0.9708477035343009,0.2567631265917881,26,0.4406779661016949,56,0.9491525423728814
XGBoost统计+图特征,xgboost_strong_baseline,drop_customer_type,test,all_accounts,0.985529899239532,0.29053293947648773,27,0.4576271186440678,57,0.9661016949152542
滚动动态资金图谱XGBoost,dynamic_graph_xgboost,drop_customer_type,train,all_accounts,0.9917836262702643,0.3452625626642755,31,0.5254237288135594,59,1.0
滚动动态资金图谱XGBoost,dynamic_graph_xgboost,drop_customer_type,valid,all_accounts,0.9742289272913939,0.32578704763506017,29,0.4915254237288136,56,0.9491525423728814
滚动动态资金图谱XGBoost,dynamic_graph_xgboost,drop_customer_type,test,all_accounts,0.9855160669605257,0.31265441235426245,29,0.4915254237288136,57,0.9661016949152542
最终融合模型,rank_weighted_ensemble,drop_customer_type,valid,all_accounts,0.9756505781892625,0.33305514454750074,32,0.5423728813559322,56,0.9491525423728814
最终融合模型,rank_weighted_ensemble,drop_customer_type,test,all_accounts,0.9879674541844181,0.36155310295978255,33,0.559322033898305,57,0.9661016949152542
最终动态融合模型v7,validation_selected_dynamic_ensemble,drop_customer_type,valid,all_accounts,0.9756206082514155,0.6361676347468106,44,0.7457627118644068,56,0.9491525423728814
最终动态融合模型v7,validation_selected_dynamic_ensemble,drop_customer_type,test,all_accounts,0.9865596355655557,0.6937814869587354,45,0.7627118644067796,57,0.9661016949152542
CatBoost动态资金图谱,catboost_dynamic_graph,drop_customer_type,train,all_accounts,0.985075739412159,0.3631326010564258,38,0.6440677966101694,53,0.8983050847457628
CatBoost动态资金图谱,catboost_dynamic_graph,drop_customer_type,valid,all_accounts,0.9606994215033535,0.33568398251226444,37,0.6271186440677966,50,0.847457627118644
CatBoost动态资金图谱,catboost_dynamic_graph,drop_customer_type,test,all_accounts,0.9710505769597264,0.37177406732331364,37,0.6271186440677966,50,0.847457627118644
轻量TGN时间事件流,temporal_graph_memory,drop_customer_type,train,all_accounts,0.8136415472479912,0.014152389881004963,3,0.05084745762711865,8,0.13559322033898305
轻量TGN时间事件流,temporal_graph_memory,drop_customer_type,valid,all_accounts,0.8043508665154337,0.013913670148772593,2,0.03389830508474576,9,0.15254237288135594
轻量TGN时间事件流,temporal_graph_memory,drop_customer_type,test,all_accounts,0.8155273479525155,0.01482935308864198,2,0.03389830508474576,9,0.15254237288135594
最终验证集选择模型v8,validation_selected_best_ensemble,drop_customer_type,valid,all_accounts,0.9757020650055637,0.7940291820855534,50,0.847457627118644,56,0.9491525423728814
最终验证集选择模型v8,validation_selected_best_ensemble,drop_customer_type,test,all_accounts,0.9857850279412036,0.8048550057410236,51,0.864406779661017,56,0.9491525423728814
五折正则化Bagging,five_fold_bagging,drop_customer_type,valid,all_accounts,0.9339316562463499,0.3300875595712133,25,0.423728813559322,42,0.711864406779661
五折正则化Bagging,five_fold_bagging,drop_customer_type,test,all_accounts,0.9449559826143623,0.33838214924840654,25,0.423728813559322,43,0.7288135593220338
过拟合护栏最终模型,overfit_guardrailed_final,drop_customer_type,valid,all_accounts,0.9757020650055637,0.7940291820855534,50,0.847457627118644,56,0.9491525423728814
过拟合护栏最终模型,overfit_guardrailed_final,drop_customer_type,test,all_accounts,0.9857842594812588,0.8048535458921688,51,0.864406779661017,56,0.9491525423728814
LogisticRegression弱画像,traditional_baseline,transaction_graph_dynamic_only,train,all_accounts,0.8151461918198976,0.014268323307381925,3,0.05084745762711865,8,0.13559322033898305
LogisticRegression弱画像,traditional_baseline,transaction_graph_dynamic_only,valid,all_accounts,0.7268624395222024,0.009981670577128387,4,0.06779661016949153,12,0.2033898305084746
LogisticRegression弱画像,traditional_baseline,transaction_graph_dynamic_only,test,all_accounts,0.7619587736608817,0.011121602378804498,4,0.06779661016949153,9,0.15254237288135594
RandomForest弱画像,traditional_baseline,transaction_graph_dynamic_only,train,all_accounts,0.8152460916127208,0.01427219123974714,3,0.05084745762711865,8,0.13559322033898305
RandomForest弱画像,traditional_baseline,transaction_graph_dynamic_only,valid,all_accounts,0.7328933131689443,0.010028808672414293,4,0.06779661016949153,12,0.2033898305084746
