weight_model8_current_best,weight_model9_catboost,weight_model10_tgn,valid_auc,valid_pr_auc,valid_top5pct_recall,valid_top5pct_hits
0.4,0.4,0.2,0.9736594984723017,0.745173539904525,0.9491525423728814,56
0.3,0.3,0.4,0.9724822178368775,0.7451491004840288,0.9491525423728814,56
0.2,0.2,0.6,0.9718666814210977,0.7451357212366085,0.9491525423728814,56
0.15,0.15,0.7,0.9714063739141662,0.7451276889672305,0.9491525423728814,56
0.5,0.5,0.0,0.974131332878405,0.7451180047657704,0.9491525423728814,56
0.1,0.1,0.8,0.9707946797981103,0.7451166298771527,0.9491525423728814,56
0.05,0.05,0.9,0.9702045025605086,0.7451053160474248,0.9491525423728814,56
0.25,0.25,0.5,0.9721540854404506,0.7450863015978508,0.9491525423728814,56
0.45,0.5,0.05,0.9738193381408188,0.7358747454859483,0.9491525423728814,56
0.4,0.45,0.15,0.9735111857029566,0.7350725657735888,0.9491525423728814,56
0.35,0.4,0.25,0.973095448872823,0.734543758938665,0.9491525423728814,56
0.3,0.35,0.35,0.9724922078161597,0.7330856713165224,0.9491525423728814,56
0.25,0.3,0.45,0.9717821508271702,0.7294719271785672,0.9491525423728814,56
0.45,0.55,0.0,0.9736126224156693,0.7284837809836247,0.9491525423728814,56
0.4,0.5,0.1,0.9733697890731143,0.7259598678170522,0.9491525423728814,56
0.2,0.25,0.55,0.9714056054542213,0.7258719687247607,0.9491525423728814,56
0.35,0.45,0.2,0.9729609683824841,0.7248061296666662,0.9491525423728814,56
0.3,0.4,0.3,0.9723723280647719,0.722887143579231,0.9491525423728814,56
0.15,0.2,0.65,0.970873831172424,0.7228409091921252,0.9491525423728814,56
0.4,0.55,0.05,0.9731746002471366,0.7211067405365164,0.9491525423728814,56
0.25,0.35,0.4,0.9716000258202541,0.7197127778092028,0.9322033898305084,55
0.35,0.5,0.15,0.9728057394736357,0.7170240662869887,0.9322033898305084,55
0.4,0.6,0.0,0.9729240823051339,0.7138068449635738,0.9322033898305084,55
0.3,0.45,0.25,0.9723077774294093,0.7137962128786688,0.9322033898305084,55
0.2,0.3,0.5,0.9709168649293325,0.7137401343126604,0.9322033898305084,55
0.1,0.15,0.75,0.9700446628919914,0.7137240978752272,0.9322033898305084,55
0.35,0.55,0.1,0.9726428259653394,0.7118547451137142,0.9322033898305084,55
0.25,0.4,0.35,0.9715931096807511,0.7093892399868007,0.9322033898305084,55
0.3,0.5,0.2,0.9721586962001193,0.7064732365086743,0.9322033898305084,55
0.15,0.25,0.6,0.9703958490867622,0.706397840403695,0.9322033898305084,55
0.35,0.6,0.05,0.9723723280647719,0.7048629027443533,0.9322033898305084,55
0.2,0.35,0.45,0.9705948802124637,0.7021012188963586,0.9322033898305084,55
0.25,0.45,0.3,0.9714578607304672,0.7009370644216069,0.9322033898305084,55
0.3,0.55,0.15,0.9720057726711053,0.6984828435548258,0.9322033898305084,55
0.35,0.65,0.0,0.9720611017871305,0.6977398376389363,0.9322033898305084,55
0.3,0.6,0.1,0.9717660131683297,0.6926182469058171,0.9322033898305084,55
0.25,0.5,0.25,0.9713379809790794,0.6921992896945114,0.9322033898305084,55
0.2,0.4,0.4,0.9704834535204688,0.6921657171938327,0.9322033898305084,55
0.15,0.3,0.55,0.969874833244192,0.6921351641218759,0.9322033898305084,55
0.1,0.2,0.7,0.9694222103367085,0.6921266062294128,0.9322033898305084,55
0.05,0.1,0.85,0.9687636401640201,0.6921227695086823,0.9322033898305084,55
0.3,0.65,0.05,0.9714593976503568,0.6869752222390229,0.9152542372881356,54
0.25,0.55,0.2,0.9711689197912249,0.685101671440605,0.9152542372881356,54
0.2,0.45,0.35,0.9704112182856581,0.6825478342860367,0.9152542372881356,54
0.3,0.7,0.0,0.9711135906751996,0.6787700464219063,0.9152542372881356,54
0.15,0.35,0.5,0.9694060726778677,0.6786849525983426,0.9152542372881356,54
0.25,0.6,0.15,0.9709552879265722,0.674861804691609,0.9152542372881356,54
0.2,0.5,0.3,0.9702444624776378,0.6701694407162949,0.9152542372881356,54
0.1,0.25,0.65,0.9688351069388861,0.6701130762005604,0.9152542372881356,54
0.25,0.65,0.1,0.9707139915039068,0.6675866173326391,0.9152542372881356,54
0.15,0.4,0.45,0.9690756349016064,0.6663137909599443,0.9152542372881356,54
0.2,0.55,0.25,0.9701499419044282,0.6634552557962813,0.9152542372881356,54
0.25,0.7,0.05,0.9703359092110684,0.6620396444744486,0.9152542372881356,54
0.9,0.0,0.1,0.9750473371325992,0.6579056109306536,0.9491525423728814,56
0.85,0.0,0.15,0.974604704204398,0.6578939184592563,0.9491525423728814,56
0.8,0.0,0.2,0.9744079784585309,0.6578881177797904,0.9491525423728814,56
0.75,0.0,0.25,0.9741866619944302,0.6578817092502279,0.9491525423728814,56
0.7,0.0,0.3,0.973929996372869,0.6578745213735053,0.9491525423728814,56
0.55,0.0,0.45,0.973691773789983,0.6578691607105366,0.9491525423728814,56
0.6,0.0,0.4,0.9737109852886028,0.6578690925520629,0.9491525423728814,56
0.65,0.0,0.35,0.9737225121877746,0.6578689930636161,0.9491525423728814,56
0.5,0.0,0.5,0.9736379815938473,0.6578684336625936,0.9491525423728814,56
0.45,0.0,0.55,0.9735580617595888,0.6578672105987668,0.9491525423728814,56
0.4,0.0,0.6,0.9734727627057167,0.6578660901895372,0.9491525423728814,56
0.35,0.0,0.65,0.9732906376988006,0.6578628062739273,0.9491525423728814,56
0.3,0.0,0.7,0.9729632737623184,0.6578571128232563,0.9491525423728814,56
0.25,0.0,0.75,0.9725360100330129,0.6578496577884787,0.9491525423728814,56
0.2,0.0,0.8,0.9720657125467992,0.6578418362486793,0.9491525423728814,56
0.15,0.0,0.85,0.9716261534583771,0.6578343846805113,0.9491525423728814,56
0.1,0.0,0.9,0.9711527821323841,0.657826761439253,0.9491525423728814,56
0.05,0.0,0.95,0.9706701892870536,0.6578186904131564,0.9491525423728814,56
0.95,0.0,0.05,0.9755306984378747,0.6576107962665022,0.9491525423728814,56
0.2,0.6,0.2,0.9699539846185057,0.6551792513054319,0.9152542372881356,54
0.1,0.3,0.6,0.9683110172565366,0.6550830985829623,0.9152542372881356,54
0.25,0.75,0.0,0.9700861597290102,0.6550398235918182,0.9152542372881356,54
0.15,0.45,0.4,0.9689357751916539,0.6549802069946276,0.9152542372881356,54
0.05,0.15,0.8,0.967697786220591,0.6549467466606593,0.9152542372881356,54
