feature,coef,abs_coef
in_nb::activity_hour_entropy,-0.057929113657938944,0.057929113657938944
out_nb::prior_in_before_out_count_6h,-0.05777069283340268,0.05777069283340268
out_nb::fast_in_out_out_amount_ratio_24h,-0.05772220682809188,0.05772220682809188
und_nb::fast_in_out_balance_ratio_24h,-0.057393743119971426,0.057393743119971426
und_nb::prior_in_before_out_mean_delay_min_1h,-0.05677291618226958,0.05677291618226958
in_nb::fast_in_out_balance_ratio_6h,-0.05655053057680854,0.05655053057680854
delta::prior_in_before_out_out_amount_ratio_6h,-0.056408927801371155,0.056408927801371155
delta::max_prior_in_count_before_out_24h,-0.056073861469712334,0.056073861469712334
out_nb::total_txn_count,-0.05573827485751084,0.05573827485751084
in_nb::prior_in_before_out_count_1h,-0.0553358496145697,0.0553358496145697
und_nb::activity_hour_nunique,-0.055275026553530275,0.055275026553530275
mix::activity_hour_entropy,-0.05526844149043385,0.05526844149043385
in_nb::max_next_out_count_after_in_24h,-0.0546864263971073,0.0546864263971073
und2_nb::counterparty_count,-0.05415283085558866,0.05415283085558866
und2_nb::out_small_amount_ratio,-0.053926453086104685,0.053926453086104685
delta::one_in_multi_out_in_amount_ratio_24h,-0.05363072279453872,0.05363072279453872
out_nb::prior_in_before_out_count_24h,-0.05345218739103965,0.05345218739103965
self::in_amount_median,-0.05325469745322539,0.05325469745322539
und_nb::max_prior_in_count_before_out_24h,-0.052754637232914216,0.052754637232914216
out_nb::in_round_1000_ratio,-0.05218620222077265,0.05218620222077265
und_nb::account_age_months,0.052083266420875934,0.052083266420875934
self::in_large_amount_ratio,-0.05169627506093806,0.05169627506093806
und2_nb::fast_in_out_balance_ratio_24h,-0.0516166207906119,0.0516166207906119
und2_nb::txn_interarrival_min_min,-0.05146188483576978,0.05146188483576978
und2_nb::out_counterparty_nunique,0.05093953360774415,0.05093953360774415
und_nb::burst_day_txn_ratio,-0.05079334228274909,0.05079334228274909
delta::in_small_amount_count,-0.050302506855959654,0.050302506855959654
in_nb::daily_txn_count_mean,0.05011314909270897,0.05011314909270897
delta::in_amount_per_txn,-0.050061203434819915,0.050061203434819915
delta::in_amount_mean,-0.050061203434819915,0.050061203434819915
in_nb::last_month_txn_count,-0.050031876586441044,0.050031876586441044
out_nb::fast_in_out_mean_delay_min_24h,-0.04990075656171429,0.04990075656171429
und_nb::in_small_amount_ratio,-0.04986189718438652,0.04986189718438652
und2_nb::fast_in_out_out_amount_ratio_1h,-0.04984497931688852,0.04984497931688852
und2_nb::fast_in_out_count_24h,-0.04971851602639615,0.04971851602639615
