account_id,node2vec_00,node2vec_01,node2vec_02,node2vec_03,node2vec_04,node2vec_05,node2vec_06,node2vec_07
198,-1.8638896,-1.0210539,-1.4966644,1.7344311,-0.13138644,0.10371476,1.5812137,-0.23913509
98,0.048237488,-0.023816213,-0.026663035,-0.11208731,0.091516614,-0.067394674,0.023429602,0.03588839
97,0.003192395,0.036814988,-0.1061732,-0.07103136,-0.049053505,-0.0319573,-0.029776603,0.12418094
6571,0.007384807,-0.10164325,0.07855789,-0.0011614412,-0.0149884075,-0.10268676,-0.10396145,0.024317935
113,-0.013655484,0.005479932,0.027283445,-0.060366288,0.042164117,-0.057614923,-0.058856964,-0.05349517
6570,0.1028101,0.046297386,0.09307988,-0.07108304,0.100964725,-0.008362651,0.032150462,-0.02775523
10546,-0.019218758,-0.044235334,-0.08119555,0.10648611,-0.019314885,0.037499815,-0.0031788498,0.055217817
87,-0.07680367,-0.06595765,-0.0051836073,-0.055340692,0.009752363,0.009598866,-0.12487972,0.015123844
4629,-0.096701965,-0.101971015,-0.016995326,0.027510136,0.08188422,-0.06284124,0.10707885,0.09726843
11040,0.09857486,-0.07761103,-0.103921846,-0.008382916,0.058783874,0.0526402,0.059857786,0.07559167
1516,-0.077456266,-0.10159288,0.03411451,0.030853644,0.08214477,0.03514619,-0.058751374,-0.007612765
11032,-0.03619735,0.06759147,-0.0044828504,-0.06860009,-0.10087712,0.06498824,0.09428671,-0.012130514
11036,0.090543225,0.07027562,-0.016624987,-0.08506127,-0.019414738,0.082981065,-0.10462269,0.101031095
7857,0.03233482,0.07833557,-0.10854812,5.042553e-05,0.058565423,0.052704886,-0.051547423,-0.09950502
4179,0.09042543,-0.11344187,-0.06827994,-0.022521496,-0.008633301,-0.044701457,-0.002623573,-0.022637188
11039,0.06729692,-0.0026425421,-0.037571087,0.045235038,0.11485568,0.029800445,-0.082533985,-0.093385175
6575,-0.08417781,0.068522826,-0.08560565,-0.12152043,0.079268426,0.07057622,-0.054845065,0.04799609
6243,-0.054994643,-0.12051399,0.10930593,0.09567419,0.032417238,0.07302871,-0.019371495,0.10630357
1520,0.08767128,0.080935135,-0.11977568,-0.03690301,-0.0050566494,0.094272524,0.052749217,0.103334546
6229,-0.0053404123,0.05442156,-0.06984793,0.07197739,0.0005983412,0.068795964,-0.08381203,-0.049094245
185,-0.015807465,-0.08383399,0.113321126,0.099466205,-0.10736802,0.07587908,0.068468064,0.11097953
189,0.06485781,-0.0038233995,-0.0052235126,-0.095130354,0.08921847,0.0067070723,0.0034659058,0.08390762
6574,0.062470376,-0.08115892,0.12263402,0.024419382,-0.11529826,-0.077078715,0.031693667,-0.10012382
3158,-0.0810013,-0.12047763,0.09560166,-0.07317765,0.09307042,0.07317445,-0.046422184,0.123427674
8027,-1.6303005,0.59676623,-0.5032894,0.57368857,-0.7627,-1.0841395,0.5439052,-1.2110404
3971,-0.117746666,0.00065001845,0.082256794,0.08815503,0.01942128,-0.10609363,-0.070087165,-0.111148745
6780,0.132452,0.25204262,-0.41673353,0.9191344,-0.10913812,-1.3046899,1.7429101,-2.2774901
2497,-0.8441357,-0.32652938,0.61829,0.7433501,-0.91934794,-0.3860253,0.61386377,-0.17562239
3734,0.11990692,-0.051278934,0.015613392,0.041605785,0.06196937,-0.08402191,-0.046690613,0.12212923
3613,-1.7575032,0.3954307,-0.4597518,1.6989869,-0.09795196,-0.99420345,0.05668413,-0.17472953
6660,-0.6494349,-0.50338954,0.49161717,0.7710176,-0.9977603,-0.28636652,0.5969798,-0.32532105
76,-0.806449,-0.48717627,0.6171582,0.8825737,-1.2023895,-0.43228117,0.8148239,0.01235687
1967,0.26550025,-0.43422535,-0.2709948,1.6623509,0.10309873,-1.8392699,0.4957245,-0.8696654
8157,-0.7742207,-0.33147484,0.5587819,0.7331912,-1.0407546,-0.40795252,0.52176166,-0.33033428
2062,0.33408046,-0.5268929,-0.3716789,1.8838925,0.0023277402,-1.9324143,0.7159201,-0.80198324
9010,0.4103784,-0.5249879,-0.2861937,1.9366138,-0.018122368,-2.0586872,0.6709736,-0.916746
3324,-1.0438143,-1.7383401,-0.62495494,0.80479217,0.9558963,-1.6881695,0.62807554,-0.7593139
7597,-1.1308969,1.4950184,-0.8398138,1.9881418,0.18028827,0.16369489,3.5415187,-1.4133716
2341,-1.288583,1.5510714,-0.863206,1.7854301,0.31097797,0.055579558,3.6002166,-1.3959639
8022,-0.04716961,-0.009110108,-0.006796688,0.07543936,0.05282411,-0.11979565,-0.12399432,0.0835311
4371,0.4456033,-0.67281294,-0.22025187,1.9161392,0.032738585,-2.0521996,0.6905065,-0.91076225
9023,-0.018566012,0.050879166,-0.085632294,0.09207727,-0.07405844,-0.041464,-0.025283724,-0.11980489
8193,-0.036129743,0.0783129,-0.050988168,-0.088103905,0.118144736,0.104671046,0.016422123,-0.00070111454
3620,-0.82783026,-0.40854344,0.42063597,0.6999168,-0.97786593,-0.5933253,0.6088984,-0.04823571
8597,0.066842854,-0.07722375,-0.05467716,-0.09168801,0.08037001,-0.0746931,0.11639802,0.12085396
11086,-0.6677439,0.831511,-0.62227273,2.2773366,-1.1905291,0.46710932,1.9174906,-1.3974402
5404,-0.05582106,0.037349954,-0.04215403,0.1158371,0.036496907,0.12226814,0.053133473,0.03551705
153,0.10341209,-0.021398395,0.087134466,0.050570816,0.04281661,-0.08399685,-0.11829379,0.123031735
7510,0.30030832,-0.46461725,-0.25686947,1.8163506,-0.05302583,-1.7865156,0.567048,-0.88264734
469,-1.2409818,0.9944085,-0.46348444,0.90528375,-0.12379312,-1.9329911,0.60297495,-1.9754074
5725,-0.9615931,-1.6999327,-0.74963945,0.63916767,0.76789623,-1.5335788,0.69494784,-0.9679071
5714,-0.11859025,-0.108943254,0.07403061,0.07848263,-0.09041892,-0.09400347,0.028842404,0.062098324
2994,-0.7573853,-0.43371087,0.6963235,0.82489616,-1.212679,-0.51618975,0.71418077,-0.20258547
4901,0.037292212,-0.093341425,-0.075010985,-0.062519014,0.025400788,0.1140379,0.039884746,-0.047118306
9470,0.023516804,0.04153952,-0.054709196,0.020738393,-0.05754529,-0.028005332,0.037070364,-0.004317805
464,-0.92799765,-0.17403169,0.9582433,0.68563324,0.43684736,-0.22888401,0.94032854,-0.22410955
2811,-0.613822,1.1926249,-0.80729735,1.6602373,0.3985478,-0.41124612,2.2965398,-0.62520796
9790,-1.0572203,-1.6220908,-0.41436064,0.6714399,0.9071888,-1.5072864,0.46168074,-0.84353584
8197,-0.074621394,0.06972179,0.07368544,0.11871946,-0.044676885,0.021101132,0.06990287,-0.022069886
5123,0.11409277,-0.039436504,-0.11095069,-0.09563856,-0.06385569,0.015127629,0.05175133,0.04335612
5400,-0.112289995,0.029347256,-0.07741791,-0.1197038,0.06373988,-0.069870114,0.0023660362,-0.021966323
8222,-0.81712866,-0.36243927,0.5214678,0.9047632,-1.0707974,-0.5555466,0.51697433,-0.035828613
1943,-0.12172532,-0.018539652,0.006009564,0.036202192,-0.11256245,-0.022691965,0.028143883,-0.012673855
5054,-0.60354507,1.3138831,-0.502231,1.9033691,0.10570364,-0.095944956,2.1685524,-0.69400835
208,-0.61359894,-0.2718373,0.76257056,0.5179457,0.56957144,-0.096497916,1.0531812,-0.3931703
9915,0.120281175,-0.010303721,-0.11462526,-0.0741919,-0.033742443,-0.038574994,0.0043738633,-0.12376326
4505,-0.083739206,-0.042897835,0.02093564,0.11100577,-0.0449021,-0.046021685,0.083382815,0.11382428
218,-0.3797884,1.1313844,-0.43913427,1.7562144,0.1092113,-0.027683295,1.8669271,-0.7715238
10126,-1.7110592,0.9192207,0.10328781,0.5627512,-0.77605873,-2.3251493,0.6472118,-1.440977
6803,0.08296242,0.113529444,0.014486924,-0.053276822,-0.07633343,-0.047334388,-0.12440668,-0.024606258
951,-1.7501618,-0.80149215,-1.3720688,1.4975423,-0.38708526,0.20139436,1.2770826,-0.51912534
4229,0.10098937,0.00880897,-0.08980994,0.036003694,-0.11965525,0.033877596,0.029078022,-0.09717588
10625,-1.0614895,-1.639715,-0.6231245,0.74942446,0.9847911,-1.4507859,0.6279671,-0.7510807
8780,-0.12076329,0.028240845,0.112183735,0.09245841,-0.015887976,0.09087524,-0.049365655,0.008398056
6298,-1.6457783,0.8511187,-0.0021039147,0.51926845,-0.8769731,-2.1947138,0.6005373,-1.4534607
7802,-0.9021259,-0.18020274,1.0550766,0.9101097,0.3812971,-0.11594592,0.870792,-0.20318913
