root_account_id,counterparty_id,direct_txn_count,direct_amount_sum,first_time,last_time,in_txn_count,out_txn_count,is_reciprocal,label_code,label_text,counterparty_score,association_score
247,4577,2,58000000.0,2025-07-11 16:43:08,2025-09-12 17:06:38,2,0,False,0,其它,0.4157225329244092,2.9971675987732276
247,9429,2,58000000.0,2025-07-11 16:43:08,2025-09-12 17:06:38,2,0,False,0,其它,0.4156323290636839,2.996896987191052
878,5393,1,71500.0,2025-07-21 17:20:41,2025-07-21 17:20:41,1,0,False,0,其它,0.1161825726141078,2.0985477178423233
878,9471,1,71500.0,2025-07-21 17:20:41,2025-07-21 17:20:41,1,0,False,0,其它,0.1160923687533826,2.0982771062601477
880,4185,1,972.0,2025-08-14 16:41:30,2025-08-14 16:41:30,0,1,False,0,其它,0.4359732996572253,3.057919898971676
880,7863,1,972.0,2025-08-14 16:41:30,2025-08-14 16:41:30,0,1,False,0,其它,0.4359011365686451,3.057703409705935
1111,3394,1,6650.0,2025-07-05 12:07:32,2025-07-05 12:07:32,0,1,False,0,其它,0.1306602922605087,2.1419808767815263
1111,6990,1,6650.0,2025-07-05 12:07:32,2025-07-05 12:07:32,0,1,False,0,其它,0.1305069456972758,2.1415208370918273
1740,7838,3,9414.44,2025-07-31 10:39:16,2025-12-24 16:35:05,3,0,False,0,其它,0.163034457874797,2.239103373624391
1740,3863,3,9414.44,2025-07-31 10:39:16,2025-12-24 16:35:05,3,0,False,0,其它,0.1629622947862168,2.2388868843586502
2124,4577,2,59000000.0,2025-09-19 20:05:29,2025-09-19 20:05:29,2,0,False,0,其它,0.4157225329244092,2.9971675987732276
2124,9429,2,59000000.0,2025-09-19 20:05:29,2025-09-19 20:05:29,2,0,False,0,其它,0.4156323290636839,2.996896987191052
